"Wavelength nm.","Abs."
865.00,0.281
865.50,0.283
866.00,0.285
866.50,0.287
867.00,0.289
867.50,0.291
868.00,0.293
868.50,0.295
869.00,0.297
869.50,0.299
870.00,0.301
870.50,0.304
871.00,0.306
871.50,0.308
872.00,0.310
872.50,0.312
873.00,0.314
873.50,0.316
874.00,0.318
874.50,0.320
875.00,0.322
875.50,0.324
876.00,0.326
876.50,0.328
877.00,0.330
877.50,0.331
878.00,0.333
878.50,0.335
879.00,0.337
879.50,0.339
880.00,0.341
880.50,0.342
881.00,0.344
881.50,0.346
882.00,0.348
882.50,0.349
883.00,0.351
883.50,0.353
884.00,0.354
884.50,0.356
885.00,0.358
885.50,0.359
886.00,0.361
886.50,0.363
887.00,0.364
887.50,0.366
888.00,0.367
888.50,0.369
889.00,0.371
889.50,0.372
890.00,0.374
890.50,0.375
891.00,0.377
891.50,0.379
892.00,0.380
892.50,0.382
893.00,0.383
893.50,0.385
894.00,0.386
894.50,0.388
895.00,0.389
895.50,0.390
896.00,0.392
896.50,0.393
897.00,0.395
897.50,0.396
898.00,0.397
898.50,0.398
899.00,0.400
899.50,0.401
900.00,0.402
900.50,0.403
901.00,0.404
901.50,0.405
902.00,0.406
902.50,0.408
903.00,0.409
903.50,0.410
904.00,0.411
904.50,0.411
905.00,0.412
905.50,0.413
906.00,0.414
906.50,0.415
907.00,0.416
907.50,0.417
908.00,0.418
908.50,0.419
909.00,0.419
909.50,0.420
910.00,0.421
910.50,0.422
911.00,0.422
911.50,0.423
912.00,0.424
912.50,0.424
913.00,0.425
913.50,0.425
914.00,0.426
914.50,0.427
915.00,0.427
915.50,0.428
916.00,0.428
916.50,0.429
917.00,0.429
917.50,0.429
918.00,0.430
918.50,0.430
919.00,0.430
919.50,0.431
920.00,0.431
920.50,0.431
921.00,0.431
921.50,0.432
922.00,0.432
922.50,0.432
923.00,0.432
923.50,0.432
924.00,0.432
924.50,0.432
925.00,0.432
925.50,0.432
926.00,0.432
926.50,0.432
927.00,0.432
927.50,0.432
928.00,0.432
928.50,0.432
929.00,0.432
929.50,0.432
930.00,0.432
930.50,0.432
931.00,0.432
931.50,0.431
932.00,0.431
932.50,0.431
933.00,0.431
933.50,0.430
934.00,0.430
934.50,0.430
935.00,0.429
935.50,0.429
936.00,0.429
936.50,0.428
937.00,0.428
937.50,0.427
938.00,0.427
938.50,0.426
939.00,0.426
939.50,0.425
940.00,0.425
940.50,0.424
941.00,0.424
941.50,0.423
942.00,0.423
942.50,0.422
943.00,0.421
943.50,0.421
944.00,0.420
944.50,0.419
945.00,0.419
945.50,0.418
946.00,0.417
946.50,0.417
947.00,0.416
947.50,0.415
948.00,0.415
948.50,0.414
949.00,0.413
949.50,0.412
950.00,0.411
950.50,0.411
951.00,0.410
951.50,0.409
952.00,0.408
952.50,0.407
953.00,0.407
953.50,0.406
954.00,0.405
954.50,0.404
955.00,0.403
955.50,0.402
956.00,0.401
956.50,0.400
957.00,0.399
957.50,0.398
958.00,0.397
958.50,0.396
959.00,0.395
959.50,0.394
960.00,0.393
960.50,0.392
961.00,0.391
961.50,0.390
962.00,0.389
962.50,0.388
963.00,0.387
963.50,0.386
964.00,0.385
964.50,0.384
965.00,0.383
965.50,0.382
966.00,0.381
966.50,0.380
967.00,0.379
967.50,0.378
968.00,0.377
968.50,0.376
969.00,0.375
969.50,0.374
970.00,0.373
970.50,0.372
971.00,0.371
971.50,0.370
972.00,0.369
972.50,0.368
973.00,0.367
973.50,0.366
974.00,0.365
974.50,0.364
975.00,0.363
975.50,0.362
976.00,0.361
976.50,0.360
977.00,0.359
977.50,0.358
978.00,0.357
978.50,0.356
979.00,0.355
979.50,0.355
980.00,0.354
980.50,0.353
981.00,0.352
981.50,0.351
982.00,0.350
982.50,0.349
983.00,0.348
983.50,0.347
984.00,0.346
984.50,0.345
985.00,0.344
985.50,0.343
986.00,0.343
986.50,0.342
987.00,0.341
987.50,0.340
988.00,0.339
988.50,0.339
989.00,0.338
989.50,0.337
990.00,0.336
990.50,0.335
991.00,0.335
991.50,0.334
992.00,0.333
992.50,0.332
993.00,0.332
993.50,0.331
994.00,0.330
994.50,0.329
995.00,0.329
995.50,0.328
996.00,0.328
996.50,0.327
997.00,0.326
997.50,0.326
998.00,0.325
998.50,0.325
999.00,0.324
999.50,0.324
1000.00,0.323
1000.50,0.323
1001.00,0.322
1001.50,0.322
1002.00,0.322
1002.50,0.321
1003.00,0.321
1003.50,0.321
1004.00,0.321
1004.50,0.320
1005.00,0.320
1005.50,0.320
1006.00,0.320
1006.50,0.320
1007.00,0.319
1007.50,0.319
1008.00,0.319
1008.50,0.319
1009.00,0.319
1009.50,0.319
1010.00,0.319
1010.50,0.319
1011.00,0.318
1011.50,0.318
1012.00,0.318
1012.50,0.318
1013.00,0.318
1013.50,0.318
1014.00,0.318
1014.50,0.318
1015.00,0.317
1015.50,0.317
1016.00,0.317
1016.50,0.317
1017.00,0.317
1017.50,0.316
1018.00,0.316
1018.50,0.316
1019.00,0.316
1019.50,0.315
1020.00,0.315
1020.50,0.315
1021.00,0.315
1021.50,0.314
1022.00,0.314
1022.50,0.314
1023.00,0.313
1023.50,0.313
1024.00,0.312
1024.50,0.312
1025.00,0.312
1025.50,0.311
1026.00,0.311
1026.50,0.310
1027.00,0.310
1027.50,0.309
1028.00,0.309
1028.50,0.308
1029.00,0.308
1029.50,0.307
1030.00,0.307
1030.50,0.306
1031.00,0.305
1031.50,0.305
1032.00,0.304
1032.50,0.303
1033.00,0.303
1033.50,0.302
1034.00,0.301
1034.50,0.300
1035.00,0.299
1035.50,0.299
1036.00,0.298
1036.50,0.297
1037.00,0.296
1037.50,0.295
1038.00,0.294
1038.50,0.293
1039.00,0.292
1039.50,0.291
1040.00,0.290
1040.50,0.288
1041.00,0.287
1041.50,0.286
1042.00,0.285
1042.50,0.284
1043.00,0.283
1043.50,0.281
1044.00,0.280
1044.50,0.279
1045.00,0.278
1045.50,0.277
1046.00,0.275
1046.50,0.274
1047.00,0.273
1047.50,0.272
1048.00,0.271
1048.50,0.270
1049.00,0.269
1049.50,0.267
1050.00,0.266
1050.50,0.265
1051.00,0.264
1051.50,0.263
1052.00,0.262
1052.50,0.261
1053.00,0.260
1053.50,0.259
1054.00,0.258
1054.50,0.257
1055.00,0.256
1055.50,0.255
1056.00,0.254
1056.50,0.253
1057.00,0.252
1057.50,0.251
1058.00,0.250
1058.50,0.249
1059.00,0.248
1059.50,0.247
1060.00,0.246
1060.50,0.246
1061.00,0.245
1061.50,0.244
1062.00,0.243
1062.50,0.242
1063.00,0.241
1063.50,0.241
1064.00,0.240
1064.50,0.239
1065.00,0.238
1065.50,0.238
1066.00,0.237
1066.50,0.236
1067.00,0.236
1067.50,0.235
1068.00,0.234
1068.50,0.234
1069.00,0.233
1069.50,0.232
1070.00,0.232
1070.50,0.231
1071.00,0.231
1071.50,0.230
1072.00,0.229
1072.50,0.229
1073.00,0.228
1073.50,0.228
1074.00,0.227
1074.50,0.227
1075.00,0.226
1075.50,0.226
1076.00,0.225
1076.50,0.225
1077.00,0.225
1077.50,0.224
1078.00,0.224
1078.50,0.223
1079.00,0.223
1079.50,0.222
1080.00,0.222
1080.50,0.222
1081.00,0.221
1081.50,0.221
1082.00,0.221
1082.50,0.221
1083.00,0.220
1083.50,0.220
1084.00,0.220
1084.50,0.220
1085.00,0.219
1085.50,0.219
1086.00,0.219
1086.50,0.219
1087.00,0.219
1087.50,0.219
1088.00,0.219
1088.50,0.219
1089.00,0.218
1089.50,0.218
1090.00,0.218
1090.50,0.218
1091.00,0.218
1091.50,0.218
1092.00,0.218
1092.50,0.218
1093.00,0.219
1093.50,0.219
1094.00,0.219
1094.50,0.219
1095.00,0.219
1095.50,0.219
1096.00,0.219
1096.50,0.220
1097.00,0.220
1097.50,0.220
1098.00,0.220
1098.50,0.221
1099.00,0.221
1099.50,0.221
1100.00,0.221
